Year,Site,Stage,Trapping_start,Trapping_end,Count,Quantile,yday
2019,10_214,nymph,15,353,38,Q1,39.05
2019,10_214,nymph,15,353,38,Q5,80
2019,10_214,nymph,15,353,38,Q10,80
2019,10_214,nymph,15,353,38,Q25,86.75
2019,10_214,nymph,15,353,38,Q50,135
2019,10_214,nymph,15,353,38,Q75,168
2019,10_214,nymph,15,353,38,Q90,329
2019,10_214,nymph,15,353,38,Q95,329
2019,10_214,nymph,15,353,38,Q99,329
2019,11_216,nymph,15,353,99,Q1,15
2019,11_216,nymph,15,353,99,Q5,40.2
2019,11_216,nymph,15,353,99,Q10,80
2019,11_216,nymph,15,353,99,Q25,93.5
2019,11_216,nymph,15,353,99,Q50,135
2019,11_216,nymph,15,353,99,Q75,168
2019,11_216,nymph,15,353,99,Q90,330
2019,11_216,nymph,15,353,99,Q95,353
2019,11_216,nymph,15,353,99,Q99,353
2019,1b,nymph,15,346,906,Q1,56
2019,1b,nymph,15,346,906,Q5,80
2019,1b,nymph,15,346,906,Q10,95
2019,1b,nymph,15,346,906,Q25,141
2019,1b,nymph,15,346,906,Q50,170
2019,1b,nymph,15,346,906,Q75,170
2019,1b,nymph,15,346,906,Q90,190
2019,1b,nymph,15,346,906,Q95,190
2019,1b,nymph,15,346,906,Q99,240
2019,2,nymph,51,330,173,Q1,107
2019,2,nymph,51,330,173,Q5,107
2019,2,nymph,51,330,173,Q10,135
2019,2,nymph,51,330,173,Q25,169
2019,2,nymph,51,330,173,Q50,192
2019,2,nymph,51,330,173,Q75,220
2019,2,nymph,51,330,173,Q90,261
2019,2,nymph,51,330,173,Q95,298
2019,2,nymph,51,330,173,Q99,330
2019,4,nymph,44,352,481,Q1,86
2019,4,nymph,44,352,481,Q5,86
2019,4,nymph,44,352,481,Q10,86
2019,4,nymph,44,352,481,Q25,106
2019,4,nymph,44,352,481,Q50,137
2019,4,nymph,44,352,481,Q75,177
2019,4,nymph,44,352,481,Q90,177
2019,4,nymph,44,352,481,Q95,218
2019,4,nymph,44,352,481,Q99,318.4
2019,5,nymph,15,352,1035,Q1,15
2019,5,nymph,15,352,1035,Q5,15
2019,5,nymph,15,352,1035,Q10,53
2019,5,nymph,15,352,1035,Q25,81
2019,5,nymph,15,352,1035,Q50,108
2019,5,nymph,15,352,1035,Q75,137
2019,5,nymph,15,352,1035,Q90,273
2019,5,nymph,15,352,1035,Q95,319
2019,5,nymph,15,352,1035,Q99,352
2019,6,nymph,24,352,824,Q1,24
2019,6,nymph,24,352,824,Q5,50
2019,6,nymph,24,352,824,Q10,79
2019,6,nymph,24,352,824,Q25,107
2019,6,nymph,24,352,824,Q50,143
2019,6,nymph,24,352,824,Q75,158
2019,6,nymph,24,352,824,Q90,290
2019,6,nymph,24,352,824,Q95,319
2019,6,nymph,24,352,824,Q99,352
2019,7,nymph,24,352,369,Q1,24
2019,7,nymph,24,352,369,Q5,50
2019,7,nymph,24,352,369,Q10,50
2019,7,nymph,24,352,369,Q25,107
2019,7,nymph,24,352,369,Q50,143
2019,7,nymph,24,352,369,Q75,158
2019,7,nymph,24,352,369,Q90,192
2019,7,nymph,24,352,369,Q95,290
2019,7,nymph,24,352,369,Q99,329.56
2019,8,nymph,16,353,299,Q1,81
2019,8,nymph,16,353,299,Q5,81
2019,8,nymph,16,353,299,Q10,105
2019,8,nymph,16,353,299,Q25,148
2019,8,nymph,16,353,299,Q50,148
2019,8,nymph,16,353,299,Q75,172
2019,8,nymph,16,353,299,Q90,199
2019,8,nymph,16,353,299,Q95,263
2019,8,nymph,16,353,299,Q99,295.619999999999
2019,9_200,nymph,15,353,50,Q1,15
2019,9_200,nymph,15,353,50,Q5,43
2019,9_200,nymph,15,353,50,Q10,43
2019,9_200,nymph,15,353,50,Q25,80
2019,9_200,nymph,15,353,50,Q50,104
2019,9_200,nymph,15,353,50,Q75,135
2019,9_200,nymph,15,353,50,Q90,168
2019,9_200,nymph,15,353,50,Q95,168
2019,9_200,nymph,15,353,50,Q99,227.7
2019,10_214,male,15,353,2,Q1,137.18
2019,10_214,male,15,353,2,Q5,145.9
2019,10_214,male,15,353,2,Q10,156.8
2019,10_214,male,15,353,2,Q25,189.5
2019,10_214,male,15,353,2,Q50,244
2019,10_214,male,15,353,2,Q75,298.5
2019,10_214,male,15,353,2,Q90,331.2
2019,10_214,male,15,353,2,Q95,342.1
2019,10_214,male,15,353,2,Q99,350.82
2019,11_216,male,15,353,1,Q1,192
2019,11_216,male,15,353,1,Q5,192
2019,11_216,male,15,353,1,Q10,192
2019,11_216,male,15,353,1,Q25,192
2019,11_216,male,15,353,1,Q50,192
2019,11_216,male,15,353,1,Q75,192
2019,11_216,male,15,353,1,Q90,192
2019,11_216,male,15,353,1,Q95,192
2019,11_216,male,15,353,1,Q99,192
2019,1b,male,15,346,17,Q1,80
2019,1b,male,15,346,17,Q5,80
2019,1b,male,15,346,17,Q10,89
2019,1b,male,15,346,17,Q25,95
2019,1b,male,15,346,17,Q50,141
2019,1b,male,15,346,17,Q75,170
2019,1b,male,15,346,17,Q90,190
2019,1b,male,15,346,17,Q95,200
2019,1b,male,15,346,17,Q99,232
2019,2,male,51,330,9,Q1,137.72
2019,2,male,51,330,9,Q5,148.6
2019,2,male,51,330,9,Q10,162.2
2019,2,male,51,330,9,Q25,169
2019,2,male,51,330,9,Q50,220
2019,2,male,51,330,9,Q75,220
2019,2,male,51,330,9,Q90,268.4
2019,2,male,51,330,9,Q95,283.2
2019,2,male,51,330,9,Q99,295.04
2019,4,male,44,352,13,Q1,86
2019,4,male,44,352,13,Q5,86
2019,4,male,44,352,13,Q10,90
2019,4,male,44,352,13,Q25,106
2019,4,male,44,352,13,Q50,137
2019,4,male,44,352,13,Q75,137
2019,4,male,44,352,13,Q90,198.6
2019,4,male,44,352,13,Q95,263.2
2019,4,male,44,352,13,Q99,334.24
2019,5,male,15,352,16,Q1,57.2
2019,5,male,15,352,16,Q5,74
2019,5,male,15,352,16,Q10,81
2019,5,male,15,352,16,Q25,129.75
2019,5,male,15,352,16,Q50,137
2019,5,male,15,352,16,Q75,168
2019,5,male,15,352,16,Q90,283.5
2019,5,male,15,352,16,Q95,308.5
2019,5,male,15,352,16,Q99,343.3
2019,6,male,24,352,10,Q1,52.61
2019,6,male,24,352,10,Q5,63.05
2019,6,male,24,352,10,Q10,76.1
2019,6,male,24,352,10,Q25,79
2019,6,male,24,352,10,Q50,93
2019,6,male,24,352,10,Q75,134
2019,6,male,24,352,10,Q90,144.5
2019,6,male,24,352,10,Q95,151.25
2019,6,male,24,352,10,Q99,156.65
2019,7,male,24,352,3,Q1,107
2019,7,male,24,352,3,Q5,107
2019,7,male,24,352,3,Q10,107
2019,7,male,24,352,3,Q25,107
2019,7,male,24,352,3,Q50,107
2019,7,male,24,352,3,Q75,229.5
2019,7,male,24,352,3,Q90,303
2019,7,male,24,352,3,Q95,327.5
2019,7,male,24,352,3,Q99,347.1
2019,8,male,16,353,13,Q1,105
2019,8,male,16,353,13,Q5,105
2019,8,male,16,353,13,Q10,113.6
2019,8,male,16,353,13,Q25,148
2019,8,male,16,353,13,Q50,172
2019,8,male,16,353,13,Q75,199
2019,8,male,16,353,13,Q90,199
2019,8,male,16,353,13,Q95,249.8
2019,8,male,16,353,13,Q99,310.76
2019,9_200,male,15,353,1,Q1,192
2019,9_200,male,15,353,1,Q5,192
2019,9_200,male,15,353,1,Q10,192
2019,9_200,male,15,353,1,Q25,192
2019,9_200,male,15,353,1,Q50,192
2019,9_200,male,15,353,1,Q75,192
2019,9_200,male,15,353,1,Q90,192
2019,9_200,male,15,353,1,Q95,192
2019,9_200,male,15,353,1,Q99,192
2019,11_216,female,15,353,1,Q1,135
2019,11_216,female,15,353,1,Q5,135
2019,11_216,female,15,353,1,Q10,135
2019,11_216,female,15,353,1,Q25,135
2019,11_216,female,15,353,1,Q50,135
2019,11_216,female,15,353,1,Q75,135
2019,11_216,female,15,353,1,Q90,135
2019,11_216,female,15,353,1,Q95,135
2019,11_216,female,15,353,1,Q99,135
2019,1b,female,15,346,16,Q1,82.25
2019,1b,female,15,346,16,Q5,91.25
2019,1b,female,15,346,16,Q10,118
2019,1b,female,15,346,16,Q25,141
2019,1b,female,15,346,16,Q50,141
2019,1b,female,15,346,16,Q75,175
2019,1b,female,15,346,16,Q90,190
2019,1b,female,15,346,16,Q95,190
2019,1b,female,15,346,16,Q99,190
2019,2,female,51,330,12,Q1,138.74
2019,2,female,51,330,12,Q5,153.7
2019,2,female,51,330,12,Q10,169
2019,2,female,51,330,12,Q25,186.25
2019,2,female,51,330,12,Q50,206
2019,2,female,51,330,12,Q75,261
2019,2,female,51,330,12,Q90,294.3
2019,2,female,51,330,12,Q95,298
2019,2,female,51,330,12,Q99,298
2019,4,female,44,352,12,Q1,86
2019,4,female,44,352,12,Q5,86
2019,4,female,44,352,12,Q10,88
2019,4,female,44,352,12,Q25,106
2019,4,female,44,352,12,Q50,121.5
2019,4,female,44,352,12,Q75,177
2019,4,female,44,352,12,Q90,177
2019,4,female,44,352,12,Q95,255.75
2019,4,female,44,352,12,Q99,332.75
2019,5,female,15,352,28,Q1,53
2019,5,female,15,352,28,Q5,62.8
2019,5,female,15,352,28,Q10,81
2019,5,female,15,352,28,Q25,81
2019,5,female,15,352,28,Q50,122.5
2019,5,female,15,352,28,Q75,137
2019,5,female,15,352,28,Q90,177
2019,5,female,15,352,28,Q95,220.75
2019,5,female,15,352,28,Q99,277.53
