Year,Site,Trapping_start,Trapping_end,Moth_count,Quantile,yday
2019,avignon,199,287,51,Q1,199
2019,avignon,199,287,51,Q5,211.5
2019,avignon,199,287,51,Q10,218
2019,avignon,199,287,51,Q25,220
2019,avignon,199,287,51,Q50,223
2019,avignon,199,287,51,Q75,229
2019,avignon,199,287,51,Q90,246
2019,avignon,199,287,51,Q95,280
2019,avignon,199,287,51,Q99,287
2019,erquy,171,323,8,Q1,200
2019,erquy,171,323,8,Q5,200
2019,erquy,171,323,8,Q10,200
2019,erquy,171,323,8,Q25,221
2019,erquy,171,323,8,Q50,233
2019,erquy,171,323,8,Q75,235.25
2019,erquy,171,323,8,Q90,241.1
2019,erquy,171,323,8,Q95,247.05
2019,erquy,171,323,8,Q99,251.81
2019,orleans,178,241,300,Q1,179
2019,orleans,178,241,300,Q5,185
2019,orleans,178,241,300,Q10,186
2019,orleans,178,241,300,Q25,191
2019,orleans,178,241,300,Q50,198
2019,orleans,178,241,300,Q75,205
2019,orleans,178,241,300,Q90,215
2019,orleans,178,241,300,Q95,216
2019,orleans,178,241,300,Q99,226
2019,re_ouest,170,270,49,Q1,170.96
2019,re_ouest,170,270,49,Q5,173
2019,re_ouest,170,270,49,Q10,173.8
2019,re_ouest,170,270,49,Q25,181
2019,re_ouest,170,270,49,Q50,184
2019,re_ouest,170,270,49,Q75,190
2019,re_ouest,170,270,49,Q90,190
2019,re_ouest,170,270,49,Q95,194.6
2019,re_ouest,170,270,49,Q99,196.52
2019,serre_poncon,177,352,68,Q1,178.67
2019,serre_poncon,177,352,68,Q5,179
2019,serre_poncon,177,352,68,Q10,179.7
2019,serre_poncon,177,352,68,Q25,194.75
2019,serre_poncon,177,352,68,Q50,202
2019,serre_poncon,177,352,68,Q75,206
2019,serre_poncon,177,352,68,Q90,216.3
2019,serre_poncon,177,352,68,Q95,219.65
2019,serre_poncon,177,352,68,Q99,233.21
2020,avignon,200,288,51,Q1,200
2020,avignon,200,288,51,Q5,212.5
2020,avignon,200,288,51,Q10,219
2020,avignon,200,288,51,Q25,221
2020,avignon,200,288,51,Q50,224
2020,avignon,200,288,51,Q75,230
2020,avignon,200,288,51,Q90,247
2020,avignon,200,288,51,Q95,281
2020,avignon,200,288,51,Q99,288
2020,erquy,172,324,8,Q1,201
2020,erquy,172,324,8,Q5,201
2020,erquy,172,324,8,Q10,201
2020,erquy,172,324,8,Q25,222
2020,erquy,172,324,8,Q50,234
2020,erquy,172,324,8,Q75,236.25
2020,erquy,172,324,8,Q90,242.1
2020,erquy,172,324,8,Q95,248.05
2020,erquy,172,324,8,Q99,252.81
2020,re_ouest,171,271,49,Q1,171.96
2020,re_ouest,171,271,49,Q5,174
2020,re_ouest,171,271,49,Q10,174.8
2020,re_ouest,171,271,49,Q25,182
2020,re_ouest,171,271,49,Q50,185
2020,re_ouest,171,271,49,Q75,191
2020,re_ouest,171,271,49,Q90,191
2020,re_ouest,171,271,49,Q95,195.6
2020,re_ouest,171,271,49,Q99,197.52
